src/pages/CostTemplates.tsx | error | @typescript-eslint/no-unused-vars | 'onTemplateSelect' is defined but never used.
src/pages/CostTemplates.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadTemplates' and 'user'. Either include them or remove the dependency array.
src/pages/FarmSettings.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadFarms' and 'user'. Either include them or remove the dependency array.
src/pages/FieldDetail.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/FieldDetail.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadFieldData'. Either include it or remove the dependency array.
src/pages/Fields.tsx | error | prefer-const | 'fieldsWithOverridesSet' is never reassigned. Use 'const' instead.
src/pages/Products.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/Products.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/Reports.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'user'. Either include it or remove the dependency array.
src/pages/Team.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadData' and 'user'. Either include them or remove the dependency array.
src/pages/Yields.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/chemicals/ChemicalWorkOrders.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/BreakEvenAnalysis.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/CostPerBushel.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/CostPerBushel.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/CostPerBushel.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/pages/reports/costs/InputEfficiency.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
